Cod,Provicnia,Sum of total Dtes Empleo,Sum of Dtes Empleo hombre edad < 25,Sum of Dtes Empleo hombre edad 25 -45 ,Sum of Dtes Empleo hombre edad >=45,Sum of Dtes Empleo mujer edad < 25,Sum of Dtes Empleo mujer edad 25 -45 ,Sum of Dtes EmpleoAgricultura,Sum of Dtes Empleo mujer edad >=45,Sum of Dtes Empleo Industria,Sum of Dtes Empleo Construcción,Sum of Dtes Empleo Servicios,Sum of Dtes Empleo Sin empleo Anterior
1,Albacete,290333,15625,54108,55459,15036,76942,34301,73163,33740,26304,170097,25891
2,Alicante/Alacant,1225100,51441,236320,272999,46684,294006,55174,323650,208356,132135,743731,85704
3,Almería,486310,25598,108505,100654,24944,126155,91389,100454,22596,53804,266014,52507
4,Araba/Álava,219699,8241,53732,39005,8596,63369,6273,46756,29934,17992,147437,18063
5,Asturias,629866,24541,134135,155510,23109,155077,11225,137494,88792,68284,406893,54672
6,Ávila,102763,5983,19372,24829,4970,24395,8216,23214,6706,16460,59858,11523
7,Badajoz,647691,41980,114138,122323,39122,168032,118920,162096,34918,58524,382934,52395
8,"Balears, Illes",589879,27075,122162,119549,26671,158842,10062,135580,24378,50788,483673,20978
9,Barcelona,2547608,100691,528437,602354,83474,561259,31952,671393,380626,258409,1711856,164765
10,Bizkaia,763633,29372,184297,148303,26668,210211,12218,164782,93169,76806,513344,68096
11,Burgos,184349,8254,36217,43284,7059,44405,10307,45130,32085,19498,109150,13309
12,Cáceres,359289,21798,66392,78430,19348,87755,61002,85566,22359,56589,194991,24348
13,Cádiz,1182045,65623,239873,230281,63212,306259,98395,276797,81127,132764,691717,178042
14,Cantabria,319604,13381,73757,72835,11270,80637,5887,67724,36370,38025,214320,25002
15,Castellón/Castelló,377838,18695,79357,82854,16383,98867,26076,81682,51072,37596,237038,26056
16,Ceuta,77449,6719,14939,11439,7469,22500,486,14383,2679,5055,53271,15958
17,Ciudad Real,385147,24852,76612,72497,24503,104982,54842,81701,33476,41236,220689,34904
18,Córdoba,741667,43402,132855,143361,42229,178340,194257,201480,56346,90087,328389,72588
19,"Coruña, A",615471,24900,127741,141059,22323,156655,17773,142793,80652,76995,383233,56818
20,Cuenca,116984,5920,23019,25192,5639,31139,17305,26075,9581,11688,70123,8287
21,Gipuzkoa,391994,15361,88610,73658,14649,109657,7155,90059,61297,27942,266230,29370
22,Girona,352285,15223,76188,82330,12577,82582,15209,83385,37409,39311,238790,21566
23,Granada,736575,39216,147121,150327,38255,187024,139700,174632,37370,105534,380106,73865
24,Guadalajara,132802,6305,25525,27687,6166,37209,3998,29910,12556,12986,93825,9437
25,Huelva,419089,23829,84321,85692,22427,106157,96741,96663,24270,43991,215462,38625
26,Huesca,95366,4875,20704,20174,4233,25786,10087,19594,9847,9593,59281,6558
27,Jaén,595237,36980,112305,116042,35600,144860,219542,149450,37491,41811,244381,52012
28,León,276451,12815,55126,72822,10669,64105,12294,60914,44529,29867,163122,26639
29,Lleida,183075,7160,42930,42937,6549,45510,26954,37989,18763,18371,109140,9847
30,Lugo,162459,7434,32578,38845,7101,42830,8459,33671,14740,19136,104487,15637
31,Madrid,2997781,122926,619559,662226,108834,746620,28142,737616,222535,308875,2284160,154069
32,Málaga,1206016,61053,238183,244817,58620,302729,84875,300614,60887,158779,760889,140586
33,Melilla,77776,7461,13561,12479,8092,21651,930,14532,1257,7137,49716,18736
34,Murcia,901596,43342,189054,173361,44465,250057,98752,201317,101958,94794,531610,74482
35,Navarra,309937,14386,63206,61298,13305,81316,17033,76426,48434,24595,200207,19668
36,Ourense,174719,8014,31890,41610,6591,41078,8022,45536,23371,19745,106831,16750
37,Palencia,84440,4559,15259,20296,4306,20050,5427,19970,10410,8219,51904,8480
38,"Palmas, Las",796256,28761,163140,181868,28355,200624,24036,193508,34830,95120,586846,55424
39,Pontevedra,635205,27056,135047,134897,24028,163568,24917,150609,90740,66935,395334,57279
40,"Rioja, La",150377,6081,30049,32561,5557,38226,16625,37903,28006,12692,83347,9707
41,Salamanca,200443,9848,36172,42564,9842,49488,6305,52529,15767,21360,135402,21609
42,Santa Cruz de Tenerife,704151,22845,151845,170546,22339,175253,24387,161323,31723,93969,508840,45232
43,Segovia,72093,3825,14283,16714,3275,18577,8348,15419,5859,7255,44802,5829
44,Sevilla,1719543,95849,334063,324238,90697,443851,297153,430845,114809,196638,925679,185264
45,Soria,38084,2363,7392,8493,1919,9659,2657,8258,5514,3320,23576,3017
46,Tarragona,429868,18443,92229,98111,17209,103891,25153,99985,46173,48930,283284,26328
47,Teruel,69899,3499,14855,15946,3362,18207,5180,14030,12243,7890,40761,3825
48,Toledo,490999,27501,95441,99671,24922,133745,40079,109719,60350,53837,297488,39245
49,Valencia/Valéncia,1606419,72813,324096,351872,66089,400757,80637,390792,215732,143342,1070620,96088
50,Valladolid,276060,13470,52248,59353,12251,68493,22592,70245,24875,25109,175249,28235
51,Zamora,105185,5164,20221,25791,4397,24593,8710,25019,9369,14200,62712,10194
52,Zaragoza,510719,26435,107323,104032,23903,130541,28263,118485,70440,43679,324823,43514
53,Grand Total,28765624,1358983,5860492,6135475,1259293,7238521,2264422,6912860,2862516,3074001,18207662,2357023